Serial,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
4033,Help needed in Brochette,17/03/2010 13:40,"Brochette 99, Brochette, west of Carrefour","We live in brochette 99, we don't find any help. Please send some for us.","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, ",18.52519,-72.458954,YES,NO
4031,Victims of Sexual Assault in Champs-de-Mars Shelter,16/04/2010 14:45,provisional shleter on Champs-de-Mars,"if women and children are victim of rape or other agressions in provisionnal shelter, what number can we call to have fast assistance. Time: 2010-04-16 14:45:49

IDUshahidi:	 13414589","3. Public Health, ",18.5423,-72.3362,YES,NO
4030,"Help needed in 1ere section, Leogane",26/04/2010 14:26,&quot;corail le maire&quot;  in 1st section dessource?,"TO WHOM IT MAY CONCERN, PLEASE HELP US WE ARE IN 'LEOGANE' CORAIL LEMAIRE PREMIERE SECTION DESSOURCE. Time: 2010-04-26 14:26:05

IDUshahidi:	 13715395","2. Urgences logistiques | Vital Lines, ",18.499145,-72.651215,YES,NO
4029,Food /water  and  medicals supplies/ petit-goave,26/04/2010 12:37,petit goave,"[13709949] · we are suffering in the area &quot;borne fer&quot; municipality of &quot;petit-goave&quot;first division,we find nothing, it's Dieuner Jean jacques, Agent agrotourism. Time: 2010-04-26 12:31:46
~~~


~~~~~~~~~~~~~~~~~~~~~~~~~

  important message
~~~~~~~~~~~~~~~~~
Category: 5. Autre | Other","1. Urgences | Emergency, 7. Secours | Services Available, 8. Autre | Other, 6. Natural Hazards, ",18.426199,-72.818756,YES,NO
4027,Medical attention needed on Delmas 41,26/04/2010 16:12,Delmas 41,"I am mikaelle I need to know where the hospital I go for herni problèm Please? Thank you. ] Time: 2010-04-26 16:12:13

Location info indicated in a related message: &quot;...i'm Peterson i live at Delmas 41&quot;. The messages may refer to different people although they originate from the same number.

IDUshahidi:	 13719210","3. Public Health, 3b. Chronic care needs, ",18.5473,-72.301,YES,NO
4025,Water needed for woman and child on Delmas 72,28/01/2010 22:38,Rte Delmas 72,"english:	
Need help. I have a 1 year old child and having problems finding drinking water and food. Adress is route de delmas 272 Note: this seems like a high number, It might be number 27 of route delmas -- Category: 3a. Water shortage

creole:	
Jai besoin daide.jai un enfant de 1an.il nest pa facile de trouver leau potable et de la nourriture.aidez moi je vour prie.ladresse est: 272,rte de delma

comments:	
In the French, the person talks about the exact address &quot;272 route de delma&quot; but she doesn't mention the city which is very tricky for us, thanks

IDUshahidi:	 1986","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, ",18.5192,-72.2831,YES,NO
4024,needed help on anything/ Aral road,22/01/2010 19:09,Aral road/sarthe,"Nou nan Sat, nan wout Aral. Nou pa jwenn oken ?d malgre ef? k?k moun ak komite z?n nan.

Time:2010-01-22 19:09:44

~~~~~~~~~~~~~~~~~~~~~~~~~

We are &gt;  on ARAL road.  We dont find anything despite efforts.  some people are commiting trouble?
~~~~~~~~~~~~~~~~~
Category:","1. Urgences | Emergency, 7. Secours | Services Available, 8. Autre | Other, 6. Natural Hazards, ",18.58703,-72.306519,YES,NO
4021,school materials needed in Mirebalais,27/04/2010 14:44,Mirebalais,"I'm Duclervil Saintody, principal of &lt;Ecole Pentecostale de Boyer&gt; in Mirebalais. we meet a lot of problems with the school like: food for the children, pedagogic and didactic materials. we need chairs , bench, board to work

Time: 2010-04-27 14:44:16

~~~~~~~~~~~~~~~~~~~~~~~~~

it's a very important message
~~~~~~~~~~~~~~~~~","1. Urgences | Emergency, 2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",18.825717,-72.103271,YES,NO
4020,Shelters needed for school in Dikini.,15/02/2010 10:30,"Carrefour, zone Dikini, Ecole Henri Christophe","13727217] · If i want shelter for my school it's Henry Christophe high school in Dikini please give us some because the others schools work but we can't work. Time: 2010-04-27 15:41:47

~~~~~~~~~~~~~~~~~~~~~~~~~","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 8. Autre | Other, ",18.539838,-72.406425,YES,NO
4019,Shelter needed in Leogane.,27/04/2010 17:44,"Leogane, area of Mapou bissonière","I am a person in charge of site to Leogane in the zone Mapou bisonyè, I ask you to make a fast intervention because when it is raining we cannot sleep.

Time: 2010-04-27 17:44:02

~~~~~~~~~~~~~~~~~~~~~~~~~

It's emergency.
~~~~~~~~~~~~~~~~~
Category: --4c. Refuge | Shelter","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, ",18.497843,-72.649841,YES,NO
4018,Eliante Valentin,03/05/2010 20:05,"664 Blv. Jean Jacques Dessalines, Port-au-Prince, Haiti",SOS ! HELP! Eliante Valentin (sleeping in front of 664 Blv. Jean Jacques Dessalines) P-au-P #Haiti desperately needs #FOOD and #SHELTER.,"2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, ",18.539167,-72.335,YES,NO
4010,Starvation in La Gonave,28/01/2010 10:38,There was no specific location within the Island,"Please, can we still be counted as victims of the drama that occured? I am tired of sending messages to tell you that in La Gonave, we can no longer survive because famin (empty stomach) is overwhelming... URGENT TO RESPOND -- Category: 4d. Food distribution

creole:	
svp eske nou pa konte pami moun kite viktim nan dram kite pase a m bouke voye mesaj ba nou poum di nou nan lagonav nou pakab anko grangou vle fini ak nou

type:	 actionable
phone:	 50937821614
latitude:	 18.8524
longitude:	 -73.0247
comments:	(no value)
IDUshahidi:	 2022","2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",18.8291,-73.015,YES,NO
4009,"children  need help, in Corail, Jeremie.",27/03/2010 15:52,"Corail, Jeremie","[13727646] · Good morning, it's urgences,urgences,we are living in KORAY of Grand anse we ask the ONG for sustenance or food, good water,and then a daily plate warmer is not enough for us because we have a lot of childreen and grown-ups people who is suffering,the child go to school without eating,help us,help us in this way please.thanks. Time: 2010-04-27 16:25:04","1b. Urgence medicale | Medical Emergency, 2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, 7d. Services de sante | Hospital/Clinics Operating, ",18.65,-74.116667,YES,NO
4008,Water desperately needed in Delmas 3,19/04/2010 20:28,"IDP camp in Delmas 3, Cite Numero Un","Please thirst is killing us in Delma 3 Idalina. Time: 2010-04-19 20:28:59

IDUshahidi:	 13539170

please,i have no water,i will die Delmas 3.  Time: 2010-04-19 22:33:54","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, ",18.5586,-72.3218,YES,NO
4007,Tent needed in Santo 6,02/04/2010 17:10,Santo 6,"iv, santo 6 I would like us me messenger the good answer, for me have a tent to the this same days. Thank you for your help

IDUshahidi:	 10760996","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, ",18.60272,-72.27076,YES,NO
4006,Electricity needed in Marin,06/04/2010 10:34,It's not clear where &quot;la plaine&quot; is within Marin,"people of the area laplaine in marin needs electricity since before yesterday they don't give it 

IDUshahidi:	 12962943","2. Urgences logistiques | Vital Lines, 2f. Sans courant | Power Outage, ",18.6056,-72.2824,YES,NO
4005,Help needed on Delmas 9,06/04/2010 20:02,Intersection of Delmas 9 and Rue De Cosquer,"Help for Delmas 9 impasse Cosquer. 

IDUshahidi:	 12966330","2. Urgences logistiques | Vital Lines, ",18.55498,-72.31858,YES,NO
4004,Help needed in Saint Louis du Nord,07/04/2010 09:07,Saint-Lous Du Nord,"What's happen there is no help for the peoole who is living in saint louis du Nord Time: 2010-04-07 09:07:46

IDUshahidi:	 12992227","2. Urgences logistiques | Vital Lines, ",19.9334,-72.7209,YES,NO
4003,Dust is a problem in Port-de-paix,12/04/2010 10:26,Port-de-Paix,"the dust is killing us in the area of Port-de-paix, what must we do? Time: 2010-04-12 10:26:58

IDUshahidi:	 13319821","6. Natural Hazards, ",19.94063,-72.8397,YES,NO
4002,Victim needs food and shelter in Clercine 4,04/04/2010 09:29,"These coordinates indicate rue Clercine, there is no street currently mapped called Clercine 4","I am a Victim, I'm living in Clercine 4, I need help.

IDUshahidi:	 12992393","2. Urgences logistiques | Vital Lines, ",18.5933,-72.2654,YES,NO
4001,Police needed in Lapot 11,07/04/2010 22:53,"can't find steet, mapped only to Carrefour","I need the Police presence at street lapot11 in Carrefour.

IDUshahidi:	 13028319","4. Menaces | Security Threats, ",18.5346,-72.4092,YES,NO
4000,Tents and Sanitary items are needed on Fontamara 27,08/04/2010 18:53,"mapped to Fontamara, carrefour","We are still under the sheets. We do not have: Tents, prelates, sanitary articles and household etc. Bastien the city Alix fontamara 27

IDUshahidi:	 13031593","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 3. Public Health, 3d. OBGYN/Women's Health, ",18.527,-72.3741,YES,NO
3999,Food needed on Delmas 41,12/04/2010 14:36,"Delmas 41, no further location information given.","It was said that the aid is finished, there is a hungry at Delmas 41, we find no nourishment, there are patients who can not find drugs.

IDUshahidi:	 13329162","2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",18.5473,-72.301,YES,NO
3998,Power outage in Tabarre,13/04/2010 09:11,Tabarre,"Tabarre needs electricity.

IDUshahidi:	 13385312","2. Urgences logistiques | Vital Lines, 2f. Sans courant | Power Outage, ",18.5618,-72.252,YES,NO
3997,Help needed in Croix des Bouquets,12/03/2010 09:14,"At intersection of routes 300, 3, and 102",Croix-des-bouquets did not find anything.,"2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, 8. Autre | Other, ",18.57685,-72.22874,YES,YES
3996,"Help needed in Gonaive - homeless, can't pay for tuition",12/03/2010 09:23,Gonaives,"Good evening, I am in Gonaives, I am in a difficult situation, I am not in fashion, I am homeless and I can't paid my school. Please help me! Time: 2010-03-12 09:23:26","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 8. Autre | Other, 8f. Other, ",19.448464,-72.688293,YES,YES
3995,Help needed in L'Estere,12/03/2010 08:57,"L'Estere, Artibonite","Since I left port au prince to L'Estere,I didn't find any help until now.","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, ",19.342245,-72.653961,YES,NO
3994,"Food, water, medical support needed in Mangeoire",12/03/2010 04:14,Rue Garoute in Mangeoire,"We are an organization in the are a of Mangeoire, Rue Garoute. There is some support that we still have not received like food distribution, treated water, hygiene material, etc.","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, ",18.5278,-72.3289,YES,NO
3993,Food and (likely) Shelter needed in Les Cayes,19/04/2010 22:23,In Les Cayes,"Please Before! I'm Gladimy Auguste from caye Haiti. My number is 3814-8917.We need help.

IDUshahidi:	 13426610

i said : hi, everybody! i write this message because since 12th January, i can't eat regulary. i am living like that, i don't have help. i don't have anything... Time: 2010-03-15 14:12:33","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, ",18.218916,-73.751221,YES,NO
3992,Helicopter crash in Fonds Verrettes,16/04/2010 12:28,Fonds-verrettes,"there is a helicopter that has just fallen in Fonds-verrettes. We need response

IDUshahidi:	 13414409

18.383333, -71.85","1. Urgences | Emergency, 1d. Incendie | Fire, 1b. Urgence medicale | Medical Emergency, ",18.383333,-71.85,YES,NO
3991,General Aid needed on Diquini 63,16/04/2010 11:39,"On UNAH's campus, on Diquini 63, in Carrefour","on the UNAH's campus in Diquini 63, in Carrefour, people don't find help since today and they live badly. Time: 2010-04-16 11:39:19


IDUshahidi:	 13414329","2. Urgences logistiques | Vital Lines, 3. Public Health, ",18.52955,-72.38726,YES,NO
3990,Helicopter crash in Fonds Verrettes,16/04/2010 12:28,Fonds-verrettes,"there is a helicopter that has just fallen in Fonds-verrettes. We need response

IDUshahidi:	 13414409

18.383333, -71.85","1. Urgences | Emergency, 1d. Incendie | Fire, 1b. Urgence medicale | Medical Emergency, ",18.383333,-71.85,YES,NO
3989,Power outage on Delmas 32,16/04/2010 12:05,"Somewhere on Delmas 32, unsure of exact location","Hi, Delmas 32 people without power I would like to EDH given every midi.help me please because the electricity can current stress.


IDUshahidi:	 13413953","2. Urgences logistiques | Vital Lines, 2f. Sans courant | Power Outage, ",18.54533,-72.30688,YES,NO
3988,Shelter/Relocation for IDPs in Champs de Mars,16/04/2010 15:55,"Champs de Mars, Port-Au-Prince","what will be done for the relocalisation of poeple in provisional shleter on Champs-de-Mars? what will be done to protect them from hurricane season? 

IDUshahidi:	 13415340","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 8. Autre | Other, 8a. IDP concentration, ",18.542103,-72.337011,YES,NO
3987,Water needed in Delmas Camp,16/04/2010 20:19,"Delmas Camp is not definitively indicated by these coordinates, but there are IDP camps in the area.","we don't have some water in the delmas camp 40b

IDUshahidi:	 13425789","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, ",18.52743,-72.19125,YES,NO
3986,Tents need in Delmas 18,16/04/2010 16:01,Delmas 18,"We need tent indelmas 18 because we don't find nothing in the area. 


IDUshahidi:	 13414448","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, ",18.54447,-72.27793,YES,NO
3985,Shelter needed in Cap Haitien,16/04/2010 21:12,Cap Haiten,"Is it provides for the tsunami of Cap? 

(comment: tents needed in (cap haitien?))

IDUshahidi:	 13425833","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, ",19.75903,-72.201462,YES,NO
3984,"Victim needs food, a tent, and a job.",19/04/2010 13:19,Sender describes himself as living at imp 47 and rue Galaxie,"good evening! i am Charles Wikens. i am living at Carrefour particulary at Betin, street Galaxie, blind alley 47 discipline. my big trouble: i need tent, food and job. that's my request to near you

IDUshahidi:	 13426994","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, ",18.543175,-72.40737,YES,NO
3983,Clean water needed in Leogane. People are getting sick.,19/04/2010 13:16,In the &quot;Brace Leandre&quot; area of Leogane. (P),"I live brace leandre in area of leogane we don't have water treat for drinking when we are drinking water it's giving diarrhe,stomachache help us please 

IDUshahidi:	 13425938","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 3a. Infectious human disease, ",18.52213,-72.5864,YES,NO
3982,Clean water needed in Leogane. People are getting sick.,19/04/2010 13:16,In the &quot;Brace Leandre&quot; area of Leogane.,"I live brace leandre in area of leogane we don't have water treat for drinking when we are drinking water it's giving diarrhe,stomachache help us please 

IDUshahidi:	 13425938","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 3a. Infectious human disease, ",18.52213,-72.5864,YES,NO
3981,Homeless victim in Torbeck,19/04/2010 14:06,The &quot;south area&quot; of torbeck,"I am a rescape event January 12 .sine this time I am in the south area torbeck rain since Thursday now, and I am homeless, please do something for me Time: 2010-04-19 14:09:46

IDUshahidi:	 13431220","2d. Refuge | Shelter needed, ",18.161511,-73.802032,YES,NO
3980,"IDP camp with 1430 people in Sarthe needs Shelter, Food.",19/04/2010 22:10,Near Rue Aral,"Good morning! I'm Martin Mathieu, I live at Sarthe 45 street Aral. we have a population of 1430 person who have a lot of problem,we need shelter, food. Help us please. 

IDUshahidi:	 13427290","2b. Penurie d'eau | Water shortage, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, 8. Autre | Other, 8a. IDP concentration, ",18.582474,-72.306175,YES,NO
3979,Food and Tent Needed in Zone Fort National,01/04/2010 14:49,"Ruelle Anglade, Zone Fort National, Haiti","I live at ruelle Anglade Zone fort national, please send some food, tent and anothers because I can't again. Thanks Lauture Felix Time: 2010-04-01 17:18:46
~~~

It's time to think to Lauture Felix, i need food and tent.

Time: 2010-03-18 14:49:51

~~~~~~~~~~~~~~~~~~~~~~~~~","2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, ",18.54839,-72.32635,YES,NO
3978,Food needed at Dagou block near the market in Croix-des-Bouquets,20/04/2010 09:42,Dagou block &quot;near the market&quot;,"Good morning, in croix-des-Bouquets at Dagou block near the market, people are very hungry they don't receive anything, please pass this message for us, it's Idomi 

IDUshahidi:	13541967","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, ",18.5775,-72.266693,YES,NO
3977,Victim in Department Sud has yet to receive assistance,20/04/2010 21:36,Victim wasn't specific with location. Assumed the capital city: Les Cayes,"I am a victim in the southern department I have never, ever get help Time: 2010-04-20 21:36:49

IDUshahidi:	 13659414","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, 8. Autre | Other, 8f. Other, ",18.19307,-73.75122,YES,NO
3976,"Food and water needed in 1er section, Petit Goave",21/04/2010 12:37,"The 1st section of petit-goave, there isn't really an easy reference online for this","you go around in the area born.fer Petit-Goâve first section we find nothing Time: 2010-04-21 12:37:41

IDUshahidi:	 13665795","2b. Penurie d'eau | Water shortage, 2d. Refuge | Shelter needed, 2a. Penurie d'aliments | Food Shortage, 3. Public Health, ",18.43023,-72.867594,YES,NO
3975,Food Shortage - Gonaives,02/03/2010 00:52,gonaives,"Nou pa gen anyen poun mange lagonav. W* sa pou nou f* pou nou, nou pata renmen mouri kounya.

~~~~~~~~~~~~~~~~~~~~~~~~~

We have nothing to eat at Lagonave.  Please help us.  We don't want to die.
~~~~~~~~~~~~~~~~~
Category: --3d. Penurie d'aliments | Food Shortage","2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",19.4461,-72.6884,YES,NO
3974,Water/Food/Sanitation - Marassa 7,15/03/2010 10:00,marassa 7,"I live in the site Marassa 7.I ask some help like water,food and toilet thank you

Time: 2010-03-15 10:00:32

~~~~~~~~~~~~~~~~~~~~~~~~~

it's emergency
~~~~~~~~~~~~~~~~~
Category: --3d. Penurie d'aliments | Food Shortage","2. Urgences logistiques | Vital Lines, 2b. Penurie d'eau | Water shortage, 2a. Penurie d'aliments | Food Shortage, 3. Public Health, ",18.5376,-72.2434,YES,NO
3973,General Aid - Delmas 4,04/02/2010 22:56,Rue St Martin,"Aide(cesm)delmas 4,zone rue st martin.

~~~~~~~~~~~~~~~~~~~~~~~~~

Help (cesm)** Delmas 4, area of Rue St. Martin
~~~~~~~~~~~~~~~~~
Category: 4. Secours | Response","2. Urgences logistiques | Vital Lines, ",18.5523,-72.3326,YES,NO
3972,General Aid - Bassan,13/04/2010 17:10,Bassan,"english:	
is an important message -- Category: 5. Autre | Other

creole:	
O.R.G.D.B Organisation de Recherche pour les Gens Défavorisées de Bassan wants you to kwow Bassan area doesn't find helps, please help them to find something. Time: 2010-04-13 17:10:56

comments:	
general aid needed in Bassan

IDUshahidi:	 13385574","2. Urgences logistiques | Vital Lines, ",18.6103,-72.3227,YES,NO
3971,Food needed - Crois-des-Bouquets,25/04/2010 13:40,Santo 13 and 15,"english:	
the people what a real problem for food in Crois-des-Bouquets especially in the district of Santo 15 and 13 -- Category: 4d. Food distribution

creole:	
an,moun yo vreman gen pwoblem manje nan kwadebouke,espesyalman nan zon santo 15 ak 13

IDUshahidi:	 1596

Date of this message is unclear","2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",18.604,-72.2595,YES,NO
3970,"General Aid - Mais Gate, Delmas",19/03/2010 22:42,"Rue Mitchelson Marcelo #5, Mais Gate Zone 8, Delmas","english:	
-- Category: 5. Autre | Other

creole:	
8 zone Maigate,ALLey prochep street Marcelo mitchelson#5 we never recieve anything i ve 2 childreen in the conuntry side please help me. Time: 2010-03-19 10:42:45

comments:	
Rue Mitchelson Marcelo, Maïs Gate, Delmas, Port-au-Prince, Ayiti

IDUshahidi:	 12321232","2. Urgences logistiques | Vital Lines, ",18.5698,-72.2976,YES,NO
3969,Food Needed - Solidarity Village,23/03/2010 09:38,"Airport Road, Solidarity Village. unsure of coordinates, but several mappers put this location for &quot;Airport Road&quot;","english:	
it's important the handicap want to have help -- Category: 5. Autre | Other

creole:	
Hi, I greet you in the name of Jesus who has in the blue sky and the earth I'm Mr. Celestin Andris an handicap I'm living at Airport Road Time: 2010-03-23 09:38:46

comments:	
food needs indicated in other SMS from same person; coordinates are for the Solidarity Village on the Airport Road

IDUshahidi:	 12330043","2. Urgences logistiques | Vital Lines, 2a. Penurie d'aliments | Food Shortage, ",18.53496,-72.31917,YES,NO
3968,Clean Water needed - Petite-Riviere,23/03/2010 22:34,could be in l'Artibonite or Leogane,"english:	
It's important.Cause he needs drinking water -- Category: --4i. Distribution d'eau | Water distribution

creole:	
What we must do in petite-Riviere to treat water to drink ? Time: 2010-03-23 10:34:21

comments:	
coordinates entered for Petit-Riviere in L'Artibonite; coordinates Petit-Riviere in Leogane are 18.51362, -72.63522

IDUshahidi:	 12459003","3. Public Health, ",19.126032,-72.482558,YES,NO
3967,Free Physio-Therapy Clinic at Hopital de la Communauté Haïtienne,23/04/2010 09:57,"Rue Audain, Pétionville","A group called Global Therapy Group has begun free Physiotherapy at the Haitian Community Hospital in Frères, Pétionville.","7d. Services de sante | Hospital/Clinics Operating, 3b. Chronic care needs, ",18.524052,-72.272562,YES,NO
3959,Shelter needed in Leogane,23/03/2010 10:32,Place Bagadet,"I would like to know if united state don't responsible to give covers? 

comments:	
shelter needed; coordinates are for Place Bagadet in Leogane (info from other texts by same person)","2. Urgences logistiques | Vital Lines, 2d. Refuge | Shelter needed, ",18.495238,-72.658081,YES,NO
3958,Medical help needed on La Gonave,22/03/2010 17:31,Nan-Mangot,"I am in La Gonave, I went to the Hospital with an old person. They required us to pay otherwise they would haven't given us the drug. What are we supposed to do in this sense because we don't have money. 

creole:	
I am at Lagonave, i went to the Hospital with an old person they require us to pay otherwise they will haven't given us me drug, what we suppose to do in this sens because we don't have money. 
	 
comments: It's important because they don't have money and they are supposed to take care of him.","2. Urgences logistiques | Vital Lines, 8. Autre | Other, 8c. Price gouging, 3. Public Health, ",18.79212,-72.92647,YES,NO
3957,Violence in Section Communale,22/03/2010 16:18,near Bois Verna,"We would like to receive some help in the Section Communale. There is a lot of violence. -- Category: 4a. Health services

creole:	
renmen pou yo ta f??? yon bagay pou nou nan seksyon kominal yo.se te Bichet depi k???k chant.

comments:	
This number has also sent the following message multiple times for two months: &quot;We have a big problem in Jacmel, we left Port-au-Prince without food, clothes and money. we are really in a critical situation.&quot;","4. Menaces | Security Threats, 4c. Group violence, ",18.5376,-72.312,YES,NO
